"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"ZYIN6YXL","journalArticle",2021,"Kalkeri, Raj; Walters, Kevin; Van der Pol, William; McFarland, Braden C.; Fisher, Nathan; Koide, Fusataka; Morrow, Casey D.; Singh, Vijay K.","Changes in the gut microbiome community of nonhuman primates following radiation injury","BMC MICROBIOLOGY",NA,NA,"10.1186/s12866-021-02146-w",NA,"BackgroundComposition and maintenance of the microbiome is vital to gut homeostasis. However, there is limited knowledge regarding the impact of high doses of radiation, which can occur as a result of cancer radiation therapy, nuclear accidents or intentional release of a nuclear or radioactive weapon, on the composition of the gut microbiome. Therefore, we sought to analyze alterations to the gut microbiome of nonhuman primates (NHPs) exposed to high doses of radiation. Fecal samples were collected from 19 NHPs (Chinese rhesus macaques, Macaca mulatta) 1 day prior and 1 and 4 days after exposure to 7.4Gy cobalt-60 gamma-radiation (LD70-80/60). The 16S V4 rRNA sequences were extracted from each sample, followed by bioinformatics analysis using the QIIME platform.ResultsAlpha Diversity (Shannon Diversity Index), revealed no major difference between pre- and post-irradiation, whereas Beta diversity analysis showed significant differences in the microbiome after irradiation (day +4) compared to baseline (pre-irradiation). The Firmicutes/Bacteriodetes ratio, a factor known to be associated with disruption of metabolic homeostasis, decreased from 1.2 to less than 1 post-radiation exposure. Actinobacillus, Bacteroides, Prevotella (Paraprevotellaceae family) and Veillonella genera were significantly increased by more than 2-fold and Acinetobacter and Aerococcus genus were decreased by more than 10-fold post-irradiation. Fifty-two percent (10/19) of animals exposed to radiation demonstrated diarrhea at day 4 post-irradiation. Comparison of microbiome composition of feces from animals with and without diarrhea at day 4 post-irradiation revealed an increase in Lactobacillus reuteri associated with diarrhea and a decrease of Lentisphaerae and Verrucomicrobioa phyla and Bacteroides in animals exhibiting diarrhea. Animals with diarrhea at day 4 post-irradiation, had significantly lower levels of Lentisphaere and Verrucomicrobia phyla and Bacteroides genus at baseline before irradiation, suggesting a potential association between the prevalence of microbiomes and differential susceptibility to radiation-induced diarrhea.ConclusionsOur findings demonstrate that substantial alterations in the microbiome composition of NHPs occur following radiation injury and provide insight into early changes with high-dose, whole-body radiation exposure. Future studies will help identify microbiome biomarkers of radiation exposure and develop effective therapeutic intervention to mitigate the radiation injury.","2021-03-29","2022-06-27 16:28:49","2022-07-19 14:47:48",NA,"",NA,"1",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-primate gut; var-disorder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46BC43RN","journalArticle",2021,"Ruebel, Meghan L.; Gilley, Stephanie P.; Sims, Clark R.; Zhong, Ying; Turner, Donald; Chintapalli, Sree V.; Piccolo, Brian D.; Andres, Aline; Shankar, Kartik","Associations between Maternal Diet, Body Composition and Gut Microbial Ecology in Pregnancy","NUTRIENTS",NA,NA,"10.3390/nu13093295",NA,"Maternal body composition, gestational weight gain (GWG) and diet quality influence offspring obesity risk. While the gut microbiome is thought to play a crucial role, it is understudied in pregnancy. Using a longitudinal pregnancy cohort, maternal anthropometrics, body composition, fecal microbiome and dietary intake were assessed at 12, 24 and 36 weeks of gestation. Fecal samples (n = 101, 98 and 107, at each trimester, respectively) were utilized for microbiome analysis via 16S rRNA amplicon sequencing. Data analysis included alpha- and beta-diversity measures and assessment of compositional changes using MaAsLin2. Correlation analyses of serum metabolic and anthropometric markers were performed against bacterial abundance and predicted functional pathways. alpha-diversity was unaltered by pregnancy stage or maternal obesity status. Actinobacteria, Lachnospiraceae, Akkermansia, Bifidobacterium, Streptococcus and Anaerotuncus abundances were associated with gestation stage. Maternal obesity status was associated with increased abundance of Lachnospiraceae, Bilophila, Dialister and Roseburia. Maternal BMI, fat mass, triglyceride and insulin levels were positively associated with Bilophila. Correlations of bacterial abundance with diet intake showed that Ruminococcus and Paraprevotella were associated with total fat and unsaturated fatty acid intake, while Collinsella and Anaerostipes were associated with protein intake. While causal relationships remain unclear, collectively, these findings indicate pregnancy- and maternal obesity-dependent interactions between dietary factors and the maternal gut microbiome.","2021-09","2022-06-27 16:28:49","2022-07-19 17:48:06",NA,"",NA,"9",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-human gut; var-adiposity; var-diet; var-medical condition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LGZSIZ24","journalArticle",2021,"Yu, Mingjia; Wang, Xiaobo; Yan, Aixian","Microbial Profiles of Retail Pacific Oysters (Crassostrea gigas) From Guangdong Province, China","FRONTIERS IN MICROBIOLOGY",NA,NA,"10.3389/fmicb.2021.689520",NA,"Oysters are one of the main aquatic products sold in coastal areas worldwide and are popular among consumers because of their delicious taste and nutritional value. However, the microorganisms present in oysters may pose health risks to consumers. In this study, the microbial communities of Pacific oysters (Crassostrea gigas) collected from aquatic product markets in three cities (Guangzhou, Zhuhai, and Jiangmen) of Guangdong Province, China, where raw oysters are popular, were investigated. The plate counts of viable bacteria in oysters collected in the three cities were all approximately 2 log colony-forming units/g. High-throughput sequencing analysis of the V3-V4 region of the 16Sribosomal DNA gene showed a high level of microbial diversity in oysters, as evidenced by both alpha and beta diversity analysis. Proteobacteria, Bacteroidetes, and Firmicutes were the dominant phyla of the microorganisms present in these samples. A variety of pathogenic bacteria, including the fatal foodborne pathogen Vibrio vulnificus, were found, and Vibrio was the dominant genus. Additionally, the relationship between other microbial species and pathogenic microorganisms may be mostly symbiotic in oysters. These data provide insights into the microbial communities of retail oysters in the Guangdong region and indicate a considerable risk related to the consumption of raw oysters.","2021-07-07","2022-06-27 16:28:49","2022-07-01 14:55:15",NA,"",NA,"",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-oysters; var-geography",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YH9Q3267","journalArticle",2021,"Ciaravolo, Susan; Martinez-Lopez, Lina Maria; Allcock, Richard J. N.; Woodward, Andrew P.; Mansfield, Caroline","Longitudinal Survey of Fecal Microbiota in Healthy Dogs Administered a Commercial Probiotic","FRONTIERS IN VETERINARY SCIENCE",NA,NA,"10.3389/fvets.2021.664318",NA,"The aim of this longitudinal microbiome study was to investigate the effects of a commercially available veterinary synbiotic product (Blackmore's (R) Paw DigestiCare 60 (TM)) on the fecal microbiome of healthy dogs using 16S rRNA gene microbial profiling. Fifteen healthy, privately-owned dogs participated in a 2-week trial administration of the product. Fecal samples were collected at different time points, including baseline (prior to treatment), during administration and after discontinuation of product. Large intra- and inter-individual variation was observed throughout the study, but microbiome composition at higher phylogenetic levels, alpha and beta diversity were not significantly altered after 2 weeks of probiotic administration, suggesting an absence of probiotic impact on microbial diversity. Administration of the synbiotic preparation did, however, result in transient increases in probiotic species from Enterococacceae and Streptococacceae families as well as an increase in Fusobacteria; with the fecal microbiota partially reverting to its baseline state 3-weeks after cessation of probiotic administration.","2021-06-21","2022-06-27 16:28:50","2022-07-19 18:19:50",NA,"",NA,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-canine gut; var-longitudinal; var-probiotics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3VG34DWK","journalArticle",2022,"Yang, Irene; Claussen, Henry; Arthur, Robert Adam; Hertzberg, Vicki Stover; Geurs, Nicolaas; Corwin, Elizabeth J.; Dunlop, Anne L.","Subgingival Microbiome in Pregnancy and a Potential Relationship to Early Term Birth","FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",NA,NA,"10.3389/fcimb.2022.873683",NA,"BackgroundPeriodontal disease in pregnancy is considered a risk factor for adverse birth outcomes. Periodontal disease has a microbial etiology, however, the current state of knowledge about the subgingival microbiome in pregnancy is not well understood. ObjectiveTo characterize the structure and diversity of the subgingival microbiome in early and late pregnancy and explore relationships between the subgingival microbiome and preterm birth among pregnant Black women. MethodsThis longitudinal descriptive study used 16S rRNA sequencing to profile the subgingival microbiome of 59 Black women and describe microbial ecology using alpha and beta diversity metrics. We also compared microbiome features across early (8-14 weeks) and late (24-30 weeks) gestation overall and according to gestational age at birth outcomes (spontaneous preterm, spontaneous early term, full term). ResultsIn this sample of Black pregnant women, the top twenty bacterial taxa represented in the subgingival microbiome included a spectrum representative of various stages of biofilm progression leading to periodontal disease, including known periopathogens Porphyromonas gingivalis and Tannerella forsythia. Other organisms associated with periodontal disease reflected in the subgingival microbiome included several Prevotella spp., and Campylobacter spp. Measures of alpha or beta diversity did not distinguish the subgingival microbiome of women according to early/late gestation or full term/spontaneous preterm birth; however, alpha diversity differences in late pregnancy between women who spontaneously delivered early term and women who delivered full term were identified. Several taxa were also identified as being differentially abundant according to early/late gestation, and full term/spontaneous early term births. ConclusionsAlthough the composition of the subgingival microbiome is shifted toward complexes associated with periodontal disease, the diversity of the microbiome remains stable throughout pregnancy. Several taxa were identified as being associated with spontaneous early term birth. Two, in particular, are promising targets of further investigation. Depletion of the oral commensal Lautropia mirabilis in early pregnancy and elevated levels of Prevotella melaninogenica in late pregnancy were both associated with spontaneous early term birth.","2022-05-11","2022-06-27 16:28:50","2022-07-19 19:18:19",NA,"",NA,"",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-human oral; var-disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GK4ARAIS","journalArticle",2018,"Reese, Aspen T.; Lulow, Kyrstin; David, Lawrence A.; Wright, Justin P.","Plant community and soil conditions individually affect soil microbial community assembly in experimental mesocosms","ECOLOGY AND EVOLUTION",NA,NA,"10.1002/ece3.3734",NA,"Soils harbor large, diverse microbial communities critical for local and global ecosystem functioning that are controlled by multiple and poorly understood processes. In particular, while there is observational evidence of relationships between both biotic and abiotic conditions and microbial composition and diversity, there have been few experimental tests to determine the relative importance of these two sets of factors at local scales. Here, we report the results of a fully factorial experiment manipulating soil conditions and plant cover on old-field mesocosms across a latitudinal gradient. The largest contributor to beta diversity was site-to-site variation, but, having corrected for that, we observed significant effects of both plant and soil treatments on microbial composition. Separate phyla were associated with each treatment type, and no interactions between soil and plant treatment were observed. Individual soil characteristics and biotic parameters were also associated with overall beta-diversity patterns and phyla abundance. In contrast, soil microbial diversity was only associated with site and not experimental treatment. Overall, plant community treatment explained more variation than soil treatment, a result not previously appreciated because it is difficult to dissociate plant community composition and soil conditions in observational studies across gradients. This work highlights the need for more nuanced, multifactorial experiments in microbial ecology and in particular indicates a greater focus on relationships between plant composition and microbial composition during community assembly.","2018-01","2022-06-27 16:28:50","2022-06-28 20:26:46",NA,"1196-1205",NA,"2",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; alpha-OTU richness; alpha-Shannon Index; biome-soil; dist-Bray-Curtis dissimilarity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93WBXV95","journalArticle",2022,"Liu, Li; Du, Chao; Liu, Yunpeng; Gao, Li","Comparative Analysis of the Fecal Microbiota of Relict Gull (Larus relictus) in Mu Us Desert (Hao Tongcha Nur) and Bojiang Haizi in Inner Mongolia, China","FRONTIERS IN VETERINARY SCIENCE",NA,NA,"10.3389/fvets.2022.860540",NA,"The gut microbiota contributes to host health by improving digestive efficiency and maintaining homeostasis. The relict gull (Larus relictus), a national first-class protected bird in China, is listed as vulnerable in the International Union for Conservation of Nature Red List. Here, 16S rRNA gene sequencing was performed to characterize and compare the community composition and diversity of the gut microbiota sampled from relict gulls in two breeding sites. In total, 418 operational taxonomic units (OUTs) were obtained and classified into 15 phyla and 228 genera. Alpha diversity analysis revealed no significant differences in community diversity among the two breeding sites. Beta diversity analyses showed that the microbial communities at the two sites were different. Six dominant phyla and fourteen dominant genera were identified. The most abundant bacterial genera had a significant relationship with the diet and living environment, and some bacterial genera were found to adapt to the plateau environment in which relict gulls live, which enables the relict gulls to use local resources effectively to accumulate energy. Simultaneously, a variety of highly abundant pathogenic bacteria were found, suggesting that these gulls may spread diseases among the local gull population. Certain measures should be taken to protect this species and to prevent the spread of diseases.","2022-04-06","2022-06-27 16:28:50","2022-07-19 15:03:56",NA,"",NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-bird gut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JJ9WFM52","journalArticle",2017,"Welsh, Rory M.; Rosales, Stephanie M.; Zaneveld, Jesse R.; Payet, Jerome P.; McMinds, Ryan; Hubbs, Steven L.; Thurber, Rebecca L. Vega","Alien vs. predator: bacterial challenge alters coral microbiomes unless controlled by Halobacteriovorax predators","PEERJ",NA,NA,"10.7717/peerj.3315",NA,"Coral microbiomes are known to play important roles in organismal health, response to environmental stress, and resistance to disease. The coral microbiome contains diverse assemblages of resident bacteria, ranging from defensive and metabolic symbionts to opportunistic bacteria that may turn harmful in compromised hosts. However, little is known about how these bacterial interactions influence the mechanism and controls of overall structure, stability, and function of the microbiome. We sought to test how coral microbiome dynamics were affected by interactions between two bacteria: Vibrio coralliilyticus, a known temperature-dependent pathogen of some corals, and Halobacteriovorax, a unique bacterial predator of Vibrio and other gram-negative bacteria. We challenged reef-building coral with V. coralliilyticus in the presence or absence of Halobacteriovorax predators, and monitored microbial community dynamics with 16S rRNA gene profiling time-series. Vibrio coralliilyticus inoculation increased the mean relative abundance of Vibrios by greater than 35% from the 4 to 8 hour time point, but not in the 24 & 32 hour time points. However, strong secondary effects of the Vibrio challenge were also observed for the rest of the microbiome such as increased richness (observed species), and reduced stability (increased beta-diversity). Moreover, after the transient increase in Vibrios, two lineages of bacteria (Rhodobacterales and Cytophagales) increased in coral tissues, suggesting that V. coralliilyticus challenge opens niche space for these known opportunists. Rhodobacterales increased from 6.99% (+/- 0.05 SEM) to a maximum mean relative abundance of 48.75% (+/- 0.14 SEM) in the final time point and Cytophagales from < 0.001% to 3.656%. Halobacteriovorax predators are commonly present at low-abundance on coral surfaces. Based on the keystone role of predators in many ecosystems, we hypothesized that Halobacteriovorax predators might help protect corals by consuming foreign or “alien” gram negative bacteria. Halobacteriovorax inoculation also altered the microbiome but to a lesser degree than V. coralliilyticus, and Halobacteriovorax were never detected after inoculation. Simultaneous challenge with both V. coralliilyticus and predatory Halobacteriovorax eliminated the increase in V. coralliilyticus, ameliorated changes to the rest of the coral microbiome, and prevented the secondary blooms of opportunistic Rhodobacterales and Cytophagales seen in the V. coralliilyticus challenge. These data suggest that, under certain circumstances, host-associated bacterial predators may mitigate the ability of other bacteria to destabilize the microbiome.","2017-05-31","2022-06-27 16:28:51","2022-06-30 19:16:48",NA,"",NA,"",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-coral; var-longitudinal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIVU5BVS","journalArticle",2020,"Lecomte, Alexandre; Barateau, Lucie; Pereira, Pedro; Paulin, Lars; Auvinen, Petri; Scheperjans, Filip; Dauvilliers, Yves","Gut microbiota composition is associated with narcolepsy type 1","NEUROLOGY-NEUROIMMUNOLOGY & NEUROINFLAMMATION",NA,NA,"10.1212/NXI.0000000000000896",NA,"Objective To test the hypothesis that narcolepsy type 1 (NT1) is related to the gut microbiota, we compared the microbiota bacterial communities of patients with NT1 and control subjects. Methods Thirty-five patients with NT1 (51.43% women, mean age 38.29 +/- 19.98 years) and 41 controls (57.14% women, mean age 36.14 +/- 12.68 years) were included. Stool samples were collected, and the fecal microbiota bacterial communities were compared between patients and controls using the well-standardized 16S rRNA gene amplicon sequencing approach. We studied alpha and beta diversity and differential abundance analysis between patients and controls, and between subgroups of patients with NT1. Results We found no between-group differences for alpha diversity, but we discovered in NT1 a link with NT1 disease duration. We highlighted differences in the global bacterial community structure as assessed by beta diversity metrics even after adjustments for potential confounders as body mass index (BMI), often increased in NT1. Our results revealed differential abundance of several operational taxonomic units within Bacteroidetes, Bacteroides, and Flavonifractor between patients and controls, but not after adjusting for BMI. Conclusion We provide evidence of gut microbial community structure alterations in NT1. However, further larger and longitudinal multiomics studies are required to replicate and elucidate the relationship between the gut microbiota, immunity dysregulation and NT1.","2020-11","2022-06-27 16:28:51","2022-06-30 17:01:58",NA,"",NA,"6",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5AHT7SNM","journalArticle",2019,"Young, Jonathan M.; Skvortsov, Timofey; Kelleher, Brian P.; Mahaney, William C.; Somelar, Peeter; Allen, Christopher C. R.","Effect of soil horizon stratigraphy on the microbial ecology of alpine paleosols","SCIENCE OF THE TOTAL ENVIRONMENT",NA,NA,"10.1016/j.scitotenv.2018.11.442",NA,"There is remarkable potential for research at the interface between the earth sciences and environmental microbiology that may lead to advances in our understanding of the role of bacterial communities in the surface or subsurface environment of our planet. One mainstay of sedimentary classification is the concept of differential soil and/or paleosol horizons being the result of primarily physical and chemical weathering, with relatively little understanding of how microbial communities between these stratified horizons differ, if at all. In this study we evaluate the differences in microbial community taxonomy and biogeochemical functional potential between stratified soil horizons in an alpine paleosol environment using next-generation sequencing (NGS) shotgun sequencing. Paleosols represent a unique environment to study the effect of differences soil horizon environments on the microbial community due to their relative isolation, and the fact that three distinct stratified soil horizons can be identified within the top 30 cm of the soil. This enables us to assess variation in microbial community composition that will be relatively distinct from variation due to distance alone. We test the hypothesis that variation in soil community composition is linked to variation in the physical and chemical parameters that define stratigraphy. Multivariate statistical analysis of sequencing reads from soil horizons across five sampling sites revealed that 1223 microbial genera vary significantly and consistently in abundance across stratified soil horizons at class level. Specifically Ktedonobacter, Bacilli and Betaproteobacteria responded most strongly to soil depth. Alpha diversity showed a positive correlation with soil depth. Beta diversity, however, did not differ significantly between horizons. Genes involved in carbohydrate and nitrogen metabolism were found to be more abundant in Ah horizon samples. Closer inspection of carbohydrate metabolism genes revealed that genes involved in CO2 fixation, fermentation and saccharide metabolism decreased in abundance with depth while one-carbon metabolism increased down profile. (C) 2018 Published by Elsevier B.V.","2019-03-20","2022-06-27 16:28:52","2022-06-30 17:43:16",NA,"1183-1193",NA,"",657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"shotgun sequencing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NJMKPRR7","journalArticle",2020,"Ma, Junli; Sheng, Lili; Hong, Ying; Xi, Chuchu; Gu, Yu; Zheng, Ningning; Li, Mengci; Chen, Linlin; Wu, Gaosong; Li, Yue; Yan, Juan; Han, Ruiting; Li, Bingbing; Qiu, Huihui; Zhong, Jing; Jia, Wei; Li, Houkai","Variations of Gut Microbiome Profile Under Different Storage Conditions and Preservation Periods: A Multi-Dimensional Evaluation","FRONTIERS IN MICROBIOLOGY",NA,NA,"10.3389/fmicb.2020.00972",NA,"Gut dysbiosis is heavily involved in the development of various human diseases. There are thousands of publications per year for investigating the role of gut microbiota in diseases. However, emerging evidence has indicated the frequent data inconsistency between different studies, which is largely overlooked. There are many factors that can cause data variation and inconsistency during the process of microbiota study, in particular, sample storage conditions and sequencing process. Here, we systemically evaluated the impacts of six fecal sample storage conditions (three non-commercial storage protocols, -80 degrees C, -80 degrees C with 70% ethanol (ET_-80 degrees C), 4 degrees C with 70% ethanol (ET_4 degrees C), and three commercial storage reagents, OMNIgeneGUT OMR-200 (GT) and MGIEasy (MGIE) at room temperature, and Longsee at 4 degrees C (LS) on gut microbiome profile based on 16S rRNA gene sequencing. In addition, we also investigated the impacts of storage periods (1 and 2 weeks, or 6 months) and sequencing platform on microbiome profile. The efficacy of storage conditions was evaluated by DNA yield and quality, alpha and beta diversity, relative abundance of the dominant and functional bacteria associated with short-chain fatty acid (SCFA) production, and BAs metabolism. Our current study suggested that -80 degrees C was acceptable for fecal sample storage, and the addition of 70% ethanol had some benefits in maintaining the microbial community structure. Meanwhile, we found that samples in ET_4 degrees C and GT reagents were comparable, both of them introduced some biases in alpha or beta diversity, and the relative abundance of functional bacteria. Samples stored in MGIE reagent resulted in the least variation, whereas the most obvious variations were introduced by LS reagents. In addition, our results indicated that variations caused by storage condition were larger than that of storage time and sequencing platform. Collectively, our study provided a multi-dimensional evaluation on the impacts of storage conditions, storage time periods, and sequencing platform on gut microbial profile.","2020-05-27","2022-06-27 16:28:52","2022-06-29 17:42:41",NA,"",NA,"",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-human gut; var-sampling methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MF6VYKGT","journalArticle",2019,"Lin, Dongdong; Hutchison, Kent E.; Portillo, Salvador; Vegara, Victor; Ellingson, Jarrod M.; Liu, Jingyu; Krauter, Kenneth S.; Carroll-Portillo, Amanda; Calhoun, Vince D.","Association between the oral microbiome and brain resting state connectivity in smokers","NEUROIMAGE",NA,NA,"10.1016/j.neuroimage.2019.06.023",NA,"Recent studies have shown a critical role of the gastrointestinal microbiome in brain and behavior via the complex gut-microbiome-brain axis. However, the influence of the oral microbiome in neurological processes is much less studied, especially in response to the stimuli, such as smoking, within the oral microenvironment. Additionally, given the complex structural and functional networks in brain, our knowledge about the relationship between microbiome and brain function through specific brain circuits is still very limited. In this pilot study, we leveraged next generation sequencing for microbiome and functional neuroimaging technique to enable the delineation of microbiome-brain network links as well as their relationship to cigarette smoking. Thirty smokers and 30 age- and sex-matched nonsmokers were recruited for 16S sequencing of their oral microbial community. Among them, 56 subjects were scanned by resting-state functional magnetic resonance imaging to derive brain functional networks. Statistical analyses were performed to demonstrate the influence of smoking on the oral microbial composition, functional network connectivity, and the associations between microbial shifts and functional network connectivity alternations. Compared to nonsmokers, we found a significant decrease of beta diversity (P = 6 x 10(-3)) in smokers and identified several classes (Betaproteobacteria, Spirochaetia, Synergistia, and Mollicutes) with significant alterations in microbial abundance. Pathway analysis on the predicted KEGG pathways shows that the microbiota with altered abundance are mainly involved in pathways related to cell processes, DNA repair, immune system, and neurotransmitters signaling. One brain functional network connectivity component was identified to have a significant difference between smokers and nonsmokers (P = 0.032), mainly including connectivity between brain default network and other task-positive networks. This brain functional component was also significantly associated with smoking related microbiota, suggesting a correlated cross-individual pattern between smoking-induced oral microbiome dysbiosis and brain functional connectivity alternation, possibly involving immunological and neurotransmitter signaling pathways. This work is the first attempt to link oral microbiome and brain functional networks, and provides support for future work in characterizing the role of oral microbiome in mediating smoking effects on brain activity.","2019-10-15","2022-06-27 16:28:52","2022-07-19 18:03:49",NA,"121-131",NA,"",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-human oral; var-gut-brain axis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
